Time,NEW,SAME,EXCLUDED
07_24,310,0,0
07_24 - 07_39,0,308,0
07_39 - 08_23,0,307,1
08_23 - 08_39,1,306,1
08_39 - 09_18,4,305,2
09_18 - 09_39,10,306,3
09_39 - 10_20,1,314,2
10_20 - 10_39,2,313,2
10_39 - 11_15,7,314,1
11_15 - 11_39,3,317,4
11_39 - 12_35,12,310,10
12_35 - 13_24,10,315,7
13_24 - 13_39,0,322,3
13_39 - 14_18,7,312,10
14_18 - 14_39,3,315,4
14_39 - 15_20,10,310,8
15_20 - 15_39,3,317,3
15_39 - 16_33,11,306,14
16_33 - 17_16,11,303,14
17_16 - 17_39,6,308,6
17_39 - 18_22,15,306,8
18_22 - 18_39,3,320,1
18_39 - 19_15,6,315,8
19_15 - 19_39,3,319,2
19_39 - 20_19,11,309,13
20_19 - 20_40,11,309,11
20_40 - 21_15,4,312,8
21_15 - 21_39,4,313,3
21_39 - 22_18,7,296,21
22_18 - 22_39,7,302,1
22_39 - 23_19,10,297,12
23_19 - 23_39,1,307,0
23_39 - 01_20,3,304,4
01_20 - 02_17,1,307,0
02_17 - 02_44,1,308,0
02_44 - 03_19,0,309,0
03_19 - 03_39,0,309,0
03_39 - 04_22,0,308,1
04_22 - 04_39,0,238,70
04_39 - 05_17,69,237,1
05_17 - 05_40,0,306,0
05_40 - 06_24,0,306,0
06_24 - 06_40,0,306,0
06_40 - 07_17,0,306,0
07_17 - 07_39,0,305,1
07_39 - 08_22,1,305,0
08_22 - 08_47,0,221,85
08_47 - 09_18,87,221,0
09_18 - 09_39,15,302,6
09_39 - 10_20,3,316,1
10_20 - 10_39,1,317,2
10_39 - 11_16,4,317,1
11_16 - 11_39,1,320,1
11_39 - 12_33,8,313,8
12_33 - 13_22,12,309,12
13_22 - 13_39,7,317,4
13_39 - 14_17,8,318,6
14_17 - 14_39,2,319,7
14_39 - 15_18,14,311,10
15_18 - 15_39,4,320,5
15_39 - 16_23,10,314,10
16_23 - 16_42,2,319,5
16_42 - 17_16,8,312,9
17_16 - 17_39,3,316,4
17_39 - 18_22,9,305,14
18_22 - 18_39,2,312,2
18_39 - 19_14,9,302,12
19_14 - 19_39,2,308,3
19_39 - 20_19,7,301,9
20_19 - 20_39,4,300,8
20_39 - 21_15,11,293,11
21_15 - 21_39,10,295,9
21_39 - 22_17,5,293,12
22_17 - 22_40,3,290,8
22_40 - 23_19,2,288,5
23_19 - 23_39,0,288,2
23_39 - 01_21,0,285,3
01_21 - 02_13,2,284,1
02_13 - 02_42,0,286,0
02_42 - 03_18,1,286,0
03_18 - 03_39,0,287,0
03_39 - 04_20,5,286,1
04_20 - 04_39,0,291,0
04_39 - 05_16,0,291,0
05_16 - 05_39,0,291,0
05_39 - 06_21,0,291,0
06_21 - 06_39,0,291,0
06_39 - 07_17,0,291,0
07_17 - 07_39,0,291,0
07_39 - 08_20,0,291,0
08_20 - 08_39,0,291,0
08_39 - 09_16,0,291,0
09_16 - 09_39,7,285,6
09_39 - 10_19,3,291,1
10_19 - 10_39,0,294,0
10_39 - 11_15,4,291,3
11_15 - 11_39,1,292,3
11_39 - 12_32,4,287,6
12_32 - 13_19,4,285,6
13_19 - 13_39,0,289,0
13_39 - 14_18,6,283,6
14_18 - 14_39,1,287,2
14_39 - 15_17,2,282,6
15_17 - 15_39,0,283,1
15_39 - 16_22,1,277,6
16_22 - 16_40,1,277,1
16_40 - 17_15,0,270,8
17_15 - 17_39,1,266,4
17_39 - 18_22,1,256,11
18_22 - 18_39,0,254,3
18_39 - 19_14,1,248,6
19_14 - 19_39,0,245,4
19_39 - 20_17,0,233,12
20_17 - 20_38,0,224,9
20_38 - 21_15,0,217,7
21_15 - 21_39,0,214,3
21_39 - 22_17,1,206,8
22_17 - 22_39,0,199,8
22_39 - 23_18,1,190,9
23_18 - 23_39,1,189,2
23_39 - 01_38,1,184,6
01_38 - 02_39,0,185,0
02_39 - 03_19,1,184,1
03_19 - 03_39,0,185,0
03_39 - 04_21,0,184,1
04_21 - 04_39,1,182,2
04_39 - 05_39,1,182,1
05_39 - 06_23,0,183,0
06_23 - 06_39,0,183,0
06_39 - 07_16,0,183,0
07_16 - 07_39,0,183,0
07_39 - 08_20,0,183,0
08_20 - 08_39,0,183,0
08_39 - 09_17,1,182,1
09_17 - 09_39,8,175,8
09_39 - 10_18,0,180,3
10_18 - 10_39,0,180,0
10_39 - 11_14,1,175,5
11_14 - 11_39,0,176,0
11_39 - 12_32,6,171,5
12_32 - 13_20,3,168,9
13_20 - 13_39,0,169,2
13_39 - 14_15,4,162,7
14_15 - 14_39,0,164,2
14_39 - 15_18,2,155,9
15_18 - 15_39,2,153,4
15_39 - 16_22,5,146,9
16_22 - 16_39,0,149,2
16_39 - 17_16,6,145,4
17_16 - 17_39,1,149,2
17_39 - 18_21,3,139,11
18_21 - 18_39,4,139,3
18_39 - 19_14,0,137,6
19_14 - 19_39,1,133,4
19_39 - 20_18,2,121,13
20_18 - 20_39,6,117,6
20_39 - 21_16,0,117,6
21_16 - 21_39,2,107,10
21_39 - 22_16,1,105,4
22_16 - 22_39,1,103,3
22_39 - 23_17,0,96,8
23_17 - 23_38,0,94,2
23_38 - 01_25,0,94,0
01_25 - 02_24,0,92,2
02_24 - 02_47,1,91,1
02_47 - 03_19,0,91,1
03_19 - 03_39,0,91,0
03_39 - 04_22,2,88,3
04_22 - 04_39,1,89,1
04_39 - 05_18,0,90,0
05_18 - 05_39,0,90,0
05_39 - 06_24,0,90,0
06_24 - 06_39,0,90,0
06_39 - 07_17,0,90,0
07_17 - 07_40,0,90,0
07_40 - 08_23,3,90,0
08_23 - 08_39,1,93,0
08_39 - 09_19,1,94,0
09_19 - 09_39,9,90,5
09_39 - 10_20,3,96,3
10_20 - 10_39,0,99,0
10_39 - 11_16,1,98,1
11_16 - 11_38,2,98,1
11_38 - 12_36,10,95,5
12_36 - 13_21,7,103,2
13_21 - 13_39,1,109,1
13_39 - 14_17,7,103,7
14_17 - 14_39,4,108,2
14_39 - 15_19,9,110,2
15_19 - 15_39,1,119,0
15_39 - 16_25,9,117,3
16_25 - 16_42,2,125,1
16_42 - 17_16,5,125,2
17_16 - 17_39,1,130,0
17_39 - 18_21,8,127,4
18_21 - 18_39,1,135,0
18_39 - 19_15,4,135,1
19_15 - 19_39,6,137,2
19_39 - 20_38,11,140,3
20_38 - 21_16,4,151,0
21_16 - 21_39,7,154,1
21_39 - 22_17,8,160,1
22_17 - 22_39,7,168,0
22_39 - 23_19,3,175,0
23_19 - 23_39,2,176,2
23_39 - 01_26,2,177,1
01_26 - 02_24,0,179,0
02_24 - 02_47,0,179,0
02_47 - 03_20,0,179,0
03_20 - 03_39,0,179,0
03_39 - 04_21,0,179,0
04_21 - 04_39,0,178,1
04_39 - 05_17,0,178,0
05_17 - 05_39,1,178,0
05_39 - 06_24,1,179,0
06_24 - 06_39,0,180,0
06_39 - 07_17,1,180,0
07_17 - 07_39,1,181,0
07_39 - 08_22,3,182,0
08_22 - 08_39,0,185,0
08_39 - 09_18,3,183,2
09_18 - 09_39,14,179,7
09_39 - 10_20,2,193,0
10_20 - 10_39,1,195,0
10_39 - 11_15,3,195,1
11_15 - 12_46,14,190,8
12_46 - 13_39,8,201,3
13_39 - 14_17,12,201,8
14_17 - 14_39,5,209,4
14_39 - 15_19,9,211,3
15_19 - 15_39,43,218,2
15_39 - 16_23,8,255,6
16_23 - 16_41,7,260,3
16_41 - 17_17,6,258,9
17_17 - 17_39,3,261,3
17_39 - 18_24,4,260,4
18_24 - 18_39,0,264,0
18_39 - 19_15,12,258,6
19_15 - 19_39,5,267,3
19_39 - 20_19,8,270,2
20_19 - 20_39,6,270,8
20_39 - 21_15,5,271,5
21_15 - 21_51,8,272,4
21_51 - 22_17,6,278,2
22_17 - 22_39,7,281,3
22_39 - 23_17,3,287,1
23_17 - 23_39,0,290,0
23_39 - 01_24,4,288,2
01_24 - 02_21,3,289,3
02_21 - 02_45,0,291,1
02_45 - 03_19,1,291,0
03_19 - 03_39,0,292,0
03_39 - 04_21,2,287,5
04_21 - 04_39,0,288,1
04_39 - 05_17,0,288,0
05_17 - 05_39,4,288,0
05_39 - 08_22,14,281,11
08_22 - 08_39,2,294,1
08_39 - 10_19,15,288,8
10_19 - 10_39,4,301,2
10_39 - 11_42,12,298,7
11_42 - 19_42,97,233,77
19_42 - 20_40,11,320,10
20_40 - 21_41,8,315,16
21_41 - 01_25,25,291,32
01_25 - 02_22,3,314,2
02_22 - 02_46,2,317,0
02_46 - 06_23,12,310,9
06_23 - 06_40,1,322,0
06_40 - 07_17,6,319,4
07_17 - 07_39,4,323,2
07_39 - 08_22,5,324,3
08_22 - 08_39,3,327,2
08_39 - 09_17,3,330,0
09_17 - 09_39,9,325,8
09_39 - 10_20,1,330,4
10_20 - 10_39,2,330,1
10_39 - 11_15,8,323,9
11_15 - 11_38,3,330,1
11_38 - 12_35,11,321,12
12_35 - 13_23,11,324,8
13_23 - 14_17,18,321,14
14_17 - 14_39,5,333,6
14_39 - 15_19,12,325,13
15_19 - 15_39,6,333,4
15_39 - 16_23,9,332,7
16_23 - 16_41,2,337,4
16_41 - 17_16,6,333,6
17_16 - 17_39,0,339,0
17_39 - 18_22,11,332,7
18_22 - 18_39,4,338,5
18_39 - 19_14,8,329,13
19_14 - 19_39,5,335,2
19_39 - 20_19,10,333,7
20_19 - 20_39,4,335,8
20_39 - 21_16,8,330,9
21_16 - 21_39,3,333,5
21_39 - 22_16,6,330,6
22_16 - 22_39,9,327,9
22_39 - 23_18,7,331,5
23_18 - 23_39,2,336,2
23_39 - 01_25,8,332,6
01_25 - 02_19,2,340,0
02_19 - 02_45,1,341,1
02_45 - 03_19,0,341,1
03_19 - 03_38,0,340,1
03_38 - 04_21,1,340,0
04_21 - 04_39,0,9,332
04_39 - 05_17,332,8,1
05_17 - 05_39,1,337,3
05_39 - 06_23,3,336,2
06_23 - 06_40,4,338,1
06_40 - 07_16,2,339,3
07_16 - 07_39,3,337,4
07_39 - 08_22,3,339,1
08_22 - 08_39,0,341,1
08_39 - 09_17,2,340,1
09_17 - 09_40,9,336,6
09_40 - 10_19,2,343,2
10_19 - 10_39,3,344,1
10_39 - 11_14,6,342,5
11_14 - 11_39,4,345,3
11_39 - 12_33,5,344,5
12_33 - 13_21,12,332,17
13_21 - 13_39,3,340,4
13_39 - 14_17,13,331,12
14_17 - 14_39,5,337,7
14_39 - 15_18,15,329,13
15_18 - 15_39,8,340,4
15_39 - 16_23,11,342,6
16_23 - 16_41,2,347,6
16_41 - 17_16,5,342,7
17_16 - 17_39,3,340,7
17_39 - 18_22,11,334,9
18_22 - 18_39,1,340,5
18_39 - 19_15,2,332,9
19_15 - 19_39,3,330,4
19_39 - 20_18,12,322,11
20_18 - 20_39,3,326,8
20_39 - 21_15,9,322,7
21_15 - 21_39,1,5,326
21_39 - 22_17,319,6,0
22_17 - 22_39,7,321,4
22_39 - 23_17,0,321,7
23_17 - 23_39,0,321,0
23_39 - 01_24,2,316,5
01_24 - 02_19,1,316,2
02_19 - 02_44,0,316,1
02_44 - 03_18,1,315,1
03_18 - 03_39,0,316,0
03_39 - 04_21,6,315,1
04_21 - 04_39,0,321,0
04_39 - 05_17,0,319,2
05_17 - 05_39,0,316,3
05_39 - 06_22,1,313,3
06_22 - 06_38,0,313,1
06_38 - 07_15,0,309,4
07_15 - 07_39,0,307,2
07_39 - 08_21,0,306,1
08_21 - 08_40,0,304,2
08_40 - 09_16,2,303,1
09_16 - 09_39,6,299,6
09_39 - 10_18,1,304,1
10_18 - 10_39,1,304,1
10_39 - 11_14,2,303,2
11_14 - 11_39,0,303,2
11_39 - 12_32,0,298,5
12_32 - 13_19,7,294,4
13_19 - 13_38,3,298,3
13_38 - 14_15,2,294,7
14_15 - 14_39,0,295,1
14_39 - 15_18,4,286,9
15_18 - 15_39,0,289,1
15_39 - 16_22,1,284,5
16_22 - 16_40,0,282,3
16_40 - 17_18,0,274,8
17_18 - 17_39,1,272,2
17_39 - 18_21,1,266,7
18_21 - 18_39,0,262,5
18_39 - 19_14,0,254,8
19_14 - 19_39,0,247,7
19_39 - 20_18,0,238,9
20_18 - 20_39,0,232,6
20_39 - 21_14,3,222,10
21_14 - 21_39,3,217,8
21_39 - 22_16,0,215,5
22_16 - 22_39,0,208,7
22_39 - 23_17,0,200,8
23_17 - 23_39,0,199,1
23_39 - 01_37,0,192,7
01_37 - 02_35,0,190,2
02_35 - 03_17,0,190,0
03_17 - 03_39,0,188,2
03_39 - 04_22,1,186,2
04_22 - 04_39,1,187,0
04_39 - 05_16,0,188,0
05_16 - 05_39,0,188,0
05_39 - 06_22,0,185,3
06_22 - 06_39,0,184,1
06_39 - 07_17,0,182,2
07_17 - 07_39,0,182,0
07_39 - 08_21,0,181,1
08_21 - 08_39,1,180,1
08_39 - 09_16,1,181,0
09_16 - 09_39,5,176,6
09_39 - 10_18,1,181,0
10_18 - 10_39,0,179,3
10_39 - 11_14,0,177,2
11_14 - 11_39,1,174,3
11_39 - 12_32,4,172,3
12_32 - 13_19,4,168,8
13_19 - 13_39,1,168,4
13_39 - 14_15,4,157,12
14_15 - 14_38,7,160,1
14_38 - 15_17,3,160,7
15_17 - 15_38,0,155,8
15_38 - 16_22,1,146,9
16_22 - 16_39,0,146,1
16_39 - 17_15,0,142,4
17_15 - 17_38,1,140,2
17_38 - 18_21,3,132,9
18_21 - 18_39,1,132,3
18_39 - 19_14,1,126,7
19_14 - 19_39,0,123,4
19_39 - 20_17,1,114,9
20_17 - 20_39,0,111,4
20_39 - 21_17,9,96,15
21_17 - 21_39,1,103,2
21_39 - 22_16,4,95,9
22_16 - 22_39,0,91,8
22_39 - 23_17,1,91,0
23_17 - 23_39,0,92,0
23_39 - 01_28,10,87,5
01_28 - 02_26,4,95,2
02_26 - 02_48,0,99,0
02_48 - 03_18,0,98,1
03_18 - 03_39,0,98,0
03_39 - 04_22,1,93,5
04_22 - 04_39,0,94,0
04_39 - 05_17,1,93,1
05_17 - 05_39,1,93,1
05_39 - 06_23,1,92,2
06_23 - 06_40,2,93,0
06_40 - 07_19,4,95,0
07_19 - 07_39,2,97,2
07_39 - 08_24,4,97,2
08_24 - 08_39,3,101,0
08_39 - 09_18,4,102,2
09_18 - 09_39,9,102,4
09_39 - 10_20,4,108,3
10_20 - 10_39,2,112,0
